url,url_length,has_ssl,suspicious_keywords,domain_age,pattern_analysis,classification
http://www.crestonwood.com/router.php,37,0,0,6133,clean,legitimate
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,77,0,0,7549,suspicious,legitimate
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,126,1,1,-1,suspicious,phishing
http://rgipt.ac.in,18,0,0,6480,clean,legitimate
http://www.iracing.com/tracks/gateway-motorsports-park/,55,0,0,9971,clean,legitimate
http://appleid.apple.com-app.es/,32,0,0,-1,clean,legitimate
http://www.mutuo.it,19,0,0,-1,clean,legitimate
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,81,0,0,7549,suspicious,legitimate
http://vamoaestudiarmedicina.blogspot.com/,42,0,0,-1,suspicious,legitimate
https://parade.com/425836/joshwigler/the-amazing-race-host-phil-keoghan-previews-the-season-27-premiere/,104,1,0,11161,suspicious,legitimate
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,56,1,0,-1,clean,legitimate
https://www.lifewire.com/tcp-port-21-818146,43,1,0,9705,suspicious,legitimate
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,83,1,0,3300,suspicious,legitimate
http://html.house/l7ceeid6.html,31,0,0,3543,suspicious,legitimate
https://www.missfiga.com/,25,1,0,3835,clean,legitimate
http://wave.progressfilm.co.uk/time3/?logon=myposte,51,0,0,-1,suspicious,phishing
https://www.chiefarchitect.com/,31,1,0,10097,suspicious,legitimate
http://beta.kenaidanceta.com/postamok/d39a2/source,50,0,0,-1,suspicious,phishing
http://www.ktplasmachinery.com/cs/,34,0,0,4729,clean,legitimate
http://www.ktplasmachinery.com/cs/,34,0,0,4729,clean,legitimate
http://www.2345daohang.com/,27,0,0,901,suspicious,legitimate
http://www.game.co.uk/en/games/nintendo-switch/nintendo-switch/,63,0,0,-1,clean,legitimate
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,66,1,0,7440,suspicious,legitimate
http://batvrms.net/deliver/D2017HL/u.php,40,0,0,2978,suspicious,legitimate
http://sophie-world.com/games/port-and-starboard,48,0,0,-1,suspicious,legitimate
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bb14d7ff1fcbf29?cmd=_update&dispatch=bb14d7ff1fcbf29bb&locale=_us,126,0,1,-1,suspicious,phishing
https://polarklimatsgserver.blogspot.com/,41,1,0,-1,suspicious,legitimate
https://www.provenancevineyards.com/,36,1,0,-1,clean,legitimate
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,72,0,0,6640,suspicious,legitimate
http://secureupdate.appleld.com.duilawyeryork.com/ap/88b142e778d73f7,68,0,1,-1,suspicious,phishing
http://www.inbioma.pe/rechnung-376440790464490488&amp;cgi3-viewkontakt-376440790464490488-007acctpagetype-376440790464490488=4674720-&amp;info@s-und-s-shop.de.html,163,0,0,-1,suspicious,phishing
http://www.enkiquotes.com/,26,0,0,-1,clean,legitimate
http://mno.naomigoff.com/Apollo/bc28a52c2070ca93176244f59e1f19c6,64,0,0,3019,suspicious,legitimate
http://xh167894743.el.r.appspot.com/,36,0,0,-1,suspicious,legitimate
http://dichvuvnpt.com/home/components/com_user/bbtonline.html,61,0,0,5561,suspicious,legitimate
https://answers.yahoo.com/question/index?qid=20060914152716AAZTOSo,66,1,0,11113,suspicious,legitimate
https://www.chiostrodelbramante.it/,35,1,0,9644,clean,legitimate
http://swallowthisbitchpics.com/jpg/www.global.visa.com/myca/oce/emea/action/request_type=un_Activation/visa.html,113,0,0,-1,clean,legitimate
http://yummy-cummy-in-my-tummy.tumblr.com,41,0,0,6953,clean,legitimate
http://www.j-net.cn/cms,23,0,0,4638,clean,legitimate
http://press-preview.weebly.com,31,0,0,7025,clean,legitimate
http://realestateinvestordatabase.com/wp-content/plugins/portfolio-cpt/tax/login.php,84,0,1,4919,clean,legitimate
http://vufd.hyperphp.com/amzn,29,0,0,6822,clean,legitimate
http://www.courgeon-immobilier.fr/wp-content/uploads/2019/07/tpg/9ac6ba30463d0fb7974c06843717284c/,98,0,0,4095,suspicious,legitimate
http://taccs.hu,15,0,0,-1,clean,legitimate
http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs,65,0,0,7621,clean,legitimate
https://grassform-my.sharepoint.com/:b:/g/personal/accounts_grassform_co_uk/EYsmX_DhwSVAlooW1ETKf50BIChCl1rrAfmqvTLvySTLQQ?e=UbjoWA,131,1,1,9813,suspicious,legitimate
https://www.merriam-webster.com/dictionary/tabloid,50,1,0,9631,suspicious,legitimate
http://hotmailsecure.brilliantbokeh.com/HotmailNEW/,51,0,1,-1,clean,phishing
